,Abe Fortas,Anthony M. Kennedy,Antonin Scalia,Arthur J. Goldberg,Brett M. Kavanaugh,Byron R. White,Charles E. Whittaker,Clarence Thomas,David H. Souter,Earl Warren,Elena Kagan,Felix Frankfurter,Harold Burton,Harry A. Blackmun,Hugo L. Black,John M. Harlan II,John Paul Stevens,Neil Gorsuch,Potter Stewart,Ruth Bader Ginsburg,Sandra Day O'Connor,Sherman Minton,Sonia Sotomayor,Stanley Reed,Stephen G. Breyer,Thurgood Marshall,Tom C. Clark,Warren E. Burger,William H. Rehnquist,William O. Douglas
1956-01-24,0,0,0,0,0,0,0,0,0,771,0,1046,0,0,0,0,0,0,0,0,0,86,0,1133,0,0,0,0,0,0
1956-11-05,0,0,0,0,0,0,0,0,0,274,0,3801,419,0,106,0,0,0,0,0,0,0,0,0,0,0,502,0,0,83
1956-11-06,0,0,0,0,0,0,0,0,0,184,0,5091,1305,0,1125,0,0,0,0,0,0,0,0,387,0,0,0,0,0,199
1956-11-07,0,0,0,0,0,0,0,0,0,42,0,11121,0,0,3209,0,0,0,0,0,0,0,0,130,0,0,275,0,0,147
1956-11-13,0,0,0,0,0,0,0,0,0,740,0,4795,1709,0,610,0,0,0,0,0,0,0,0,119,0,0,330,0,0,41
1956-11-14,0,0,0,0,0,0,0,0,0,118,0,6777,1584,0,2429,0,0,0,31,0,0,0,0,3590,0,0,213,0,0,60
1956-11-15,0,0,0,0,0,0,0,0,0,3154,0,3248,13,0,685,0,0,0,0,0,0,0,0,3896,0,0,0,0,0,39
1956-12-03,0,0,0,0,0,0,0,0,0,2208,0,8373,257,0,3226,0,0,0,0,0,0,0,0,301,0,0,687,0,0,412
1956-12-04,0,0,0,0,0,0,0,0,0,1259,0,4983,354,0,1558,0,0,0,0,0,0,0,0,639,0,0,0,0,0,0
1956-12-05,0,0,0,0,0,0,0,0,0,2352,0,5876,400,0,1634,0,0,0,0,0,0,0,0,2464,0,0,0,0,0,175
1956-12-06,0,0,0,0,0,0,0,0,0,2677,0,7378,182,0,3283,0,0,0,0,0,0,0,0,0,0,0,97,0,0,204
1956-12-10,0,0,0,0,0,0,0,0,0,592,0,8828,1111,0,0,0,0,0,0,0,0,0,0,82,0,0,81,0,0,70
1956-12-11,0,0,0,0,0,0,0,0,0,8687,0,8635,284,0,0,0,0,0,0,0,0,0,0,218,0,0,73,0,0,0
1956-12-12,0,0,0,0,0,0,0,0,0,8,0,409,354,0,639,0,0,0,0,0,0,214,0,353,0,0,1343,0,0,293
1956-12-13,0,0,0,0,0,0,0,0,0,487,0,920,1006,0,1425,0,0,0,0,0,0,0,0,1299,0,0,0,0,0,396
1957-01-14,0,0,0,0,0,0,0,0,0,80,0,413,3489,0,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
1957-01-15,0,0,0,0,0,0,0,0,0,93,0,1189,883,0,9149,0,0,0,0,0,0,0,0,3975,0,0,86,0,0,157
